Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,,20878.06,21844.11,23590.89,25621.85,25735.54,26686.82,28277.43,29335.28,30011.22,30087.72,31642.15,32318.89,33483.94,34522.38,35052.81,35663.03,35873.08,37687.4,34958.13,36555.76,40227.28,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,937.3,955.03,976.99,1036.02,1085.78,3138.08,3609.91,4011.39,4213.82,4589.87,4960,5461.39,5576.25,5495.38,5668.43,5905.38,6220.98,6094.91,6477.3,6863.07,9994.65,18199.47,20626.2
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,22022.02,22873.37,25549.84,28397.34,29983.36,31620.64,34554.08,36768.5,33960.36,35574.87,38570.66,38510.71,38847.09,39280.62,36483,36993.53,38707.93,40958.37,41188.77,40023.74,44840.36,46165.62,48220.03
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,25230.38,24665.84,23977.17,24928.1,26649.64,28224.1,30593.95,31515.53,30697.54,32550.14,35142.49,36730.8,38403.78,40315.37,42432.16,43734.2,46160.43,48537.57,48359,46109.23,49770.56,48828.12,50696.59
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1118.94,1119.42,1142.81,1201.25,1289.82,1409.58,1559.89,1713.42,1762.35,1874.27,2053.96,2107.35,2064.55,2164.42,2257.23,2295.54,2403.31,2457.69,2498.51,2307.13,2738.22,3012.22,3247.23
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,357.8,377.03,415.22,465.18,518.01,590.47,685.45,792.16,764.06,806.81,869.23,874.71,955.19,982.63,917.72,901.32,940.77,977.28,985.59,968.13,1047.73,1110.13,1245.02
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,5363.83,6219.64,8192.61,9723.36,10446.44,11505.41,13762.67,15900.47,14422.92,13697.45,14664.37,13452.98,14002.24,14035.86,12135.1,12634.32,13655.48,15132.96,15218.53,14383.87,17943.42,18673.18,21459.78
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,743.91,716.48,575.56,679.28,771.53,824.36,979.6,1089.58,1191.8,1204.86,1306.85,1356.17,1452.31,1454.65,1405.71,1313.19,1389.36,1489.58,1345.48,1283.14,1823.74,1748.26,1693.07
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,5276.03,6655.33,8419.43,10301.7,11223.4,11489.56,13940.91,15772.33,13077.31,13217.5,14234.47,12984.84,13715.07,14294.26,12717.04,13104.7,14621.24,16425.21,16786.21,16131.95,18755.1,18355.83,22147.21
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,1478.97,1484.09,1648.56,1942.24,2295.25,2693.98,3312.29,3933.93,3775.97,4545.57,5326.06,5601.06,5844.93,5978.09,5541.34,5528.05,6048.22,6378.54,6465.81,6185.52,7301.91,7681.3,7845.39
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,1250.87,1257.5,1393.16,1634.06,1920.83,2248.77,2743.94,3247.15,3108.73,3715.33,4324.92,4532.37,4727.63,4837.15,4484.49,4456.76,4837.06,5088.01,5144.37,4907.29,5731.31,6006.27,6094.02
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,447.39,470.38,517.68,591.03,669.47,780.52,894.24,1040.73,992.7,1118.14,1234.37,1272.07,1355.06,1429.03,1360.96,1327.72,1344.22,1415.58,1437.02,1375.88,1465.27,1539.29,1502.12
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,591.79,633.82,698.76,827.68,956.86,1158.29,1311.21,1499.31,1364.27,1561.88,1742.65,1893.55,2015.46,2142.38,1993.79,1826.23,1760.54,1885,1883.55,1727.91,1851.47,1942.51,1676.99
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,739,888.9,1052.41,1136.76,1249.4,1572.8,1840.33,2144.39,2239.1,3094.44,3613.8,3668.21,3602.89,3476.62,3322.58,3558.82,3839.79,3902.66,4151.23,3895.62,4334.23,4787.91,4940.55
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,375.5,388.79,427.41,472.52,525.28,590.47,684.59,810.15,805.48,894.03,977.29,957.83,1021.34,1068.9,1042.16,1077.48,1135.94,1181.41,1214.93,1201.23,1274.08,1339.94,1417.35
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,21716.95,25230.08,29877.96,35872.73,38184.36,42662.58,55072.14,72304.98,66175.25,70625.21,77838.38,79326.38,83204.69,91881.07,84753.52,82041.67,83510.27,89425.84,87152.47,79530.56,94124.27,,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,449.91,468.85,543.85,624.11,710.51,802.01,1022.73,993.5,1096.64,1350.63,1449.6,1434.02,1438.06,1559.86,1590.17,1714.28,1957.97,1974.38,2050.16,1915.55,2250.18,2366.31,2484.85
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,28282.41,32705.43,41203.53,47754.2,50933.02,54329.16,61396.42,61353.11,52133.09,48663.6,52219.71,48943.82,51496.96,55752.76,62179.26,62784.07,70150.74,79446.94,80848.3,85973.09,102001.8,103983.29,103684.88
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.95,1910.48,2259.52,2751.79,3226.61,3736.18,4838,5623.91,5602.56,6458.57,8201.58,8329,6280.68,5757.54,4990.94,5497.24,5758.59,3850.75,3276.75,2746.42,4084.2,4668.46,4502.55
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,1422.83,1254.16,809.85,1314.97,1744.51,2253.79,3099.59,4504.51,3686.4,4430.43,5736.9,6437.5,6612.9,6215.99,4416.94,4308.85,4725.19,5601.47,5621.18,4250.74,4816.78,6441.92,5512.48
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,28897.44,32409.22,39476.7,47334.93,56794.85,57492.93,69495.73,56943.37,41301.27,43237.07,47714.59,45995.55,49804.98,54576.74,52951.68,61987.93,72010.15,74452.19,68452.24,59023.57,69252.31,75135.09,78811.06
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,20909.43,19035.1,19627.18,20557.08,21223.94,22494.64,25633.64,30173.36,28317.04,31266.61,34354.72,33156.23,36941.84,38259.68,36206.52,37690.47,41114.78,42406.85,44452.23,44846.79,52129.52,54930.94,52261.68
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,20500.95,22376.3,27526.32,31317.2,32055.09,33529.73,37870.75,40944.91,37226.76,36035.64,38649.64,35051.52,35560.08,35565.72,30242.39,30960.73,32406.72,34622.17,33673.75,31922.92,36441.06,35068.84,38373.17
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,3502.21,3683.89,3557.2,3819.28,4200.39,4435.57,4738.45,5056.26,4452.12,4835.79,5259.93,5365.24,5143.72,4991.56,5077.55,5022.7,5273.15,5594.49,5626.17,4897.26,5183.58,6047.22,6874.2
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,1738.38,1816.41,1889.44,2062.7,2216.95,2478.29,2643.17,3416.12,3618.89,3914.7,4152.49,4386.46,4477.62,4255.89,4064.25,4003.4,4073.12,4146.41,4159.65,3998.67,4152.76,4311,4482.09
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,34406.18,32820.79,35387.04,38298.98,37812.9,35991.55,35779.02,39876.3,41309,44968.16,48760.08,49145.28,40898.65,38475.4,34960.64,39375.47,38834.05,39751.13,40415.96,40040.77,40058.54,34017.27,33834.39
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1490.93,1658.03,2068.12,2874.29,3771.28,5291.57,6771.42,8458.02,7165.22,9070.49,11634,12386.7,13890.63,12807.26,10510.77,7714.84,9247.58,9812.63,9812.6,9121.64,10270.89,11484.42,13136.62
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,408.36,401.09,441.39,462.62,522.78,699.4,840.19,916,1049.12,1093.64,1099.32,1289.78,1376.83,1489.92,1496.65,1562.08,1675.99,1845.78,1970.08,1936.25,2069.66,2099.3,1949.9
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,308.41,321.73,380.51,433.23,476.55,543.11,721.77,966.39,871.22,880.04,1123.88,1177.98,1282.44,1279.77,1121.08,1120.67,1242.77,1308.14,1451.52,1256.93,1365.51,1739.8,1969.87
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,322.9,341.04,364.28,410.09,475.07,539.75,629.92,742.4,734.82,782.7,880.31,950.48,1015.22,1098.07,1170.74,1281.11,1400.9,1533.32,1671.39,1577.91,1625.24,1759.61,1875.07
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,719.85,811.44,1017.84,1085.29,1159.14,1121.08,1353.62,1411.91,1324.44,1528.9,1783.77,1855.27,1780.66,1740.36,1641.48,1743.76,1852.99,1912.79,1745.73,1763.16,2244.11,2061.39,2089.91
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,9973.55,10398.53,10119.74,10882.35,11711.15,13747.81,14660.96,16491.89,16374.26,16427.62,17571.98,17293.81,18315.91,19923.23,20029.76,21068.44,22119.45,22540.32,23219.64,18553.42,18036.01,20593.61,22553.31
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,11561.21,13165.08,14672.81,16496.13,19402.5,21743.48,24086.41,21350.43,19143.85,23079.26,25097.6,25459.17,27179.52,29252.93,28737.44,29280.44,31600.74,33447.16,31902.42,31721.3,35125.52,32394.68,33121.37
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,17517.71,18626.77,22781.08,27601.4,36144.99,42970.7,45729.8,55595.48,37906.21,39212.47,48997.39,51270.98,47762.86,43239.88,29315.19,27026.77,29258.27,32012.19,31230.17,24656.43,33358.46,42823.83,37533.22
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,4109.87,3650.29,3678.46,4137.7,4940.25,5692.8,6643.88,7593.12,6959.75,8613.66,9944.48,9791.84,9939.83,9872.41,8297.3,7968.02,8788.65,8446.46,8245.3,6882.22,7916.81,9033.76,10070.44
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,320.42,313.62,355.65,410.25,467.38,581.01,699.04,887.64,936.79,1127.83,1363.72,1566.01,1815.44,1984.51,2125.46,2309.05,2439.46,2553.36,2598.51,2593.36,2535.62,2054.43,2075.4
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,4021.18,4307.1,4458.11,4625.3,4630.01,4665.96,5162.03,5957.7,7149.79,7695.25,7914.11,8500.18,8255.21,7665.38,7802.75,8172.3,8679.9,9225.85,8925.42,5599.96,4136.15,3823.94,3350.3
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,303.86,302.88,242.45,287.27,290.54,323.84,377.95,456.14,452.75,497.02,573.53,644.46,717.64,713.73,699.66,722.13,706.89,700.04,665.88,624.29,676.44,754.53,799.5
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,6465.62,3789.21,4738.83,5823.64,8108.05,10060.36,11158.11,13921.9,9560.81,11611.36,7784.14,15765.42,12589.53,9408.75,7867.51,7945,10529.12,11838.3,10972.9,9872.11,7095,8211.38,7329.98
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,5558.07,5562.46,6055.97,6494.6,6866.09,7618.91,7975.79,8528.68,8259.32,8672.22,9110.75,9231.58,9542.71,10006.55,10292.73,10591.88,11280.59,11585.69,11714.9,8356.68,10213.12,13030.93,13980.09
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,4315.7,3828.17,3850.35,4371.98,5212.21,6027.03,7013.38,8054.82,7474.83,9162.44,10305.95,10311.61,10453.32,10540.99,8719.63,8417.37,9256.12,8978.12,8771.14,7386.14,8516.31,9618.71,10681.73
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,317.92,338.81,373.72,418.83,481.69,543.98,638.04,764.25,739.28,815.65,907.94,926.09,984.58,1033.33,968.12,961.05,1026.57,1066.18,1098.41,1082.99,1152.85,1267,1307.65
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,296.29,316.3,342.7,389.41,451.98,510,603.17,705.41,682.42,729.97,769.76,706.85,711.76,743.5,714.77,642.05,654.65,662.94,686.36,659.29,680.66,753.95,894.62
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,74658.45,79797.55,90317.74,100710.61,105751.5,114652.24,130908.39,143540.57,126261.4,141466.83,158603.61,149461.79,173659.41,179467.52,167809.27,165846,170875.68,175286.68,167259.16,165287.19,197504.55,187267.13,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,832.43,865.3,978.17,1060.14,1240.52,1423.19,1611.18,2007.03,2053.77,2836.97,3248.04,3351.89,3643.83,3885.62,3990.35,4107.83,4388.2,4360.58,4082.69,3846.17,3999.34,3342.72,3827.96
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,555.35,574.84,640.08,722.95,818.2,941.8,1133.24,1232.94,1264.55,1496.47,1642.08,1707.03,1776.3,1888.16,1856.93,1906.06,2018.06,2089.07,2162.55,2065.92,2311.12,2430.53,2413.66
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,1151.67,1156.05,1274.82,1473.77,1715.41,1990.93,2410.91,2824.1,2791.24,3347.24,3887.4,4075.45,4263.5,4401.69,4214.46,4202.31,4528.29,4754.58,4810.52,4608.95,5370.44,5582.45,5676.39
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,412.96,388.37,580.94,761.18,850.78,910.62,848.08,885.66,866.48,1104.81,1265.86,1205.86,1141.36,1165.05,1113.84,986.27,1062.71,1162.98,1074.13,910.93,1054.93,992.86,878.01
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,1710.62,1801.23,2039.16,2435.19,2918.82,3499.49,4380.08,5409.89,5193.82,6214.56,7525.95,7991.52,8544.38,8811.76,8212.74,8180.74,9020.04,9837.55,9976.98,9719.12,11567.22,12068.21,12180.24
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,3525.79,4141.59,5499.43,6700.33,7854.77,9230.71,12285.45,14945,11820.78,11987.51,14376.95,14367.71,15729.65,16551.02,14263.96,15008.31,16885.41,19186.36,19615.55,20381.86,23849.62,25078.75,27102.78
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,48440.14,53005.73,65689.32,76544.92,80988.14,90788.8,107475.32,120422.14,109419.75,110885.99,119025.06,112584.68,120000.14,123678.7,105462.01,106899.29,110193.21,116786.51,112726.44,116905.37,133711.79,125006.02,128259.4
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,3578,4136.93,5145.2,6378.67,7594.9,9723.45,14113.53,16467.14,12331.93,11420.99,13338.96,13847.34,15007.49,15742.39,13786.46,14331.75,15695.12,17865.03,17883.35,18096.2,20930.4,21508.4,23184.31
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,15622.7,16393.74,17828.95,22381.92,24886.58,29637.77,35782.86,39745.76,39754.98,50676.39,64528.36,74111.6,86853.48,90873.6,73220.64,71919.05,78896.27,84779.45,82998.64,37474.73,45104.89,35192.53,66835.06
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,21344.59,,,21920.02,,,,,19691.62,,20320.72,,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,1500.36,1590.49,1936.09,2177.8,2237.58,2433.21,2751.42,3180.17,3118.14,3067.85,3302.45,3164,3377.64,3430.53,3139.23,3132.95,3288.5,3492.67,3498.58,3258.27,3767.52,3441.99,3672.11
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,82410.4,90151.55,111309.87,125435.89,130818.98,143289.07,184639.75,204097.11,168957.11,161780.75,179369.27,165497.1,185055.52,195772.72,170338.68,174412.49,173611.69,193968.09,199382.84,182537.39,235132.78,240862.18,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,507.4,570.8,682.32,897.18,1034.39,1183.02,1531.22,2110.55,1898.44,2436.8,2941.36,3044.81,3321.04,3289.96,2749.55,2847.09,3453.27,4156.45,4405.33,4375.78,5274.61,5715.28,6650.65
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,325.46,310.93,359.53,277.51,311.79,330.52,427.84,522.83,455.41,459.38,516.9,504.17,526.69,517.14,455.64,464.62,503.5,512.54,512.28,462.4,503.35,516.77,528.65
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,3028.05,3069.04,3539.8,4060.53,3789.23,5010.16,5746.64,6743.13,6719.33,7158.06,7409.33,7447.42,8222.56,8872.13,9480.43,9708.14,10194.75,11034.72,11349.86,7216.82,10076.32,11780.82,12667.44
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,3013.45,2932.63,3205.26,3706.48,4350.51,4993.87,5763.88,7032.09,6163.52,7086.15,8365.34,8838.4,8518.95,8403.79,7266.66,7204.57,7380.41,7607.52,7501.97,6665.22,7775.55,9116.77,8561.89
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,8009.16,8032.99,7473.93,7883.52,8702.11,9545.29,10178.44,10589.95,8495.65,9823.16,10766.61,10842.73,11317.49,11490.02,10098.17,9152.74,9693.33,10130.32,10434.57,8895.62,10363.19,11476.68,13926.11
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2249.58,2421.46,2406.34,2439.46,2536.31,2636.56,2777.76,2716.82,2815.41,3007.14,3247.9,3453.86,3618.5,3678.11,3708.22,4156.94,4512.59,4771.36,5186.83,5545.6,6130.44,6225.18,6762.55
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1225.8,1230.16,1358.46,1572.57,1832.38,2130.38,2584.08,3030.49,3000.01,3610.17,4205.25,4423.51,4635.05,4789.18,4590.1,4589.79,4956.25,5213.9,5281.78,5068.54,5925.77,6165.9,6266.78
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,1823.02,1989.14,2445.36,2818.58,3120.98,3440.44,4204.11,5026.42,4799.79,4833.37,5416.87,5049.83,5626.26,5925.39,5262.69,5598.49,5955.3,6713.99,6718.86,6659.6,7620.8,7485.6,8146.47
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,299.41,326.97,381.95,427.72,474,506.91,579.26,676.13,680.65,688.33,810.18,753.39,778.8,818.43,723.5,750.05,795.68,856.36,840.18,822.91,881.51,831.22,897.45
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,10402.23,11289.89,13669.5,15197.06,15888.17,16723.88,19485.87,22205.36,21083.28,21798.91,23155.1,22526.54,24769.6,26753.27,24921.71,25623.94,28813.19,31785.88,31751.18,29592.57,34951.71,34563.4,37882.27
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,140.78,145.82,223.06,223.23,251.17,301.58,416.6,653.87,752.94,1003.03,1204.5,1193.55,1189.96,1283.11,1157.78,1219.8,1263.25,1288.51,1415.25,1478.87,1233.23,1149.02,1187.57
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,1659.35,1571.03,1697.62,1976.13,2266.83,2604.93,3135.8,3815.1,3627.39,4116.45,4730.88,5004.76,4525.04,4385.6,3862.57,3887.02,3821.92,3568.2,3536.34,3215.96,3672.56,4147.97,3821.58
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,1909.6,2106.64,2789.16,3380.17,3674.62,4425.68,5976.39,7367.75,6727.11,6688.4,7328.79,6586.4,7188.86,7387.87,6517.19,7033.44,7803.36,8850.37,8909.65,7677.37,9465.96,10093.44,12016.91
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.82,559.83,633.95,784.91,986.02,1322.64,1625.32,2134.95,1718.91,2660.29,3793.74,4402.3,4422.3,4211.94,3919.35,3690.76,3708.25,4165.02,4394.95,4041.17,4566.14,5045.5,5764.8
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,,16640.32,16603.46,16829.4,15371.24,14986.38,14877.08,15641.66,13933.68,14772.5,13880.43,14247.79,14806.01,16044.43,17665.1,24054.92,30751.64,25862.75,23687.27,17302.92,,,
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,310.1,318.31,343.13,403.02,438.79,458.62,508.04,591.44,546.6,494.58,615.28,681.49,681.07,690.44,603.84,435.76,464.29,510.38,512.22,456.58,504.04,558.3,608.44
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,632.21,629.78,711.38,801.78,974.66,1272.08,1378.22,1610.24,1418.94,1646.13,1919.45,1850.38,1929.78,1715.39,1562.73,1579.2,1634.64,1749.95,1800.88,1836.29,1998.39,2057.38,2149.41
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,3908.56,4073.06,4858.27,5460.61,5354.03,5695.98,6574.66,8030.05,7318.13,8000.38,9197.04,9291.24,9764.64,10366.36,9507.87,9965.73,10841.68,11643.46,11403.25,9011.04,9068.97,10239.8,11416.86
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,217.24,431.7,386.32,407.59,417.1,443.52,478.03,557.52,630.11,688.14,769.05,563.06,501.2,534.13,544.28,454.44,500.17,537.93,587.12,621.42,632.53,643.43,672.87
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,3941.12,4177.1,4454.53,4924.34,5536.84,6137.15,7144,8343.3,7167.88,8880.15,10209.37,10601.51,10727.67,11045.58,9699.6,9555.67,9979.7,11073.98,11132.1,10164.34,11134.62,11993.19,11648.67
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,35831.38,36651.91,38395.43,40788.33,43368.38,45741.02,47727.51,48398.09,46581.13,48552.82,50289.05,51881.29,53341.2,54877.35,55701.81,56617.87,58796.47,61512.71,63584.04,62186.99,69147.05,74980.83,78675.48
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,1916.26,1773.43,2571.98,3407.85,3692.75,4027.96,4394.52,4222.33,4322.63,5445.42,5873.06,6017.18,5463.03,5544.1,4965.67,4614.89,5453.57,5687.38,5126.18,4252.04,4901.88,4895.68,4742.78
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,15174.28,16885.89,21817.32,25770.53,26861.7,29604.05,36864.86,37353.74,35391.09,37494.9,40697.65,37294.02,38503.25,39675.57,32428.57,32286.91,33876.33,36495.2,34934.58,34877.64,37247.49,35745.85,
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,203.53,223.35,263.09,281.33,316.37,331.1,384.72,472.18,458.42,471.61,507.6,525.05,548.16,560.75,481.11,497.04,514.54,568.6,549.82,564.84,590.63,588.9,618.29
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,583.09,733.54,786.8,992.75,1250.41,1652.15,1876.41,2227.79,1883.89,2280.11,2504.88,2728.02,2976.76,3200.95,2679.55,2144.78,1941.88,2125.83,2334.02,2074.61,2065.77,2162.63,1621.12
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1030.62,993.29,999.85,1075.51,1158.88,1223.13,1323.85,1493.9,1438.09,1495.73,1644.8,1746.42,1794.78,1913.52,2025.32,2079.45,2127.29,1981.86,1905.64,1877.11,2064.66,2252.31,2530.29
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,26896.55,29343.24,35750.97,40436.62,41994.71,44900.94,51799.21,57879.94,52722.21,50999.75,54230.31,50070.14,52198.9,52900.54,45193.4,46039.11,48675.22,53044.53,52476.27,52162.57,58727.87,57025.01,62536.73
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,38601.9,43170.56,50250.33,57768.7,67047.17,74434.5,85502.27,97503.54,80347.57,88163.21,101221.81,102175.92,103553.84,97666.7,74809.97,70867.36,76131.84,82792.84,76430.59,68340.02,93072.89,108798.45,87961.78
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,240.71,238.86,246.49,279.72,309.31,341.03,386.53,466.69,475.64,589.17,791.23,794.09,809.38,827.74,882.31,880.22,1027.97,1161.53,1185.68,1139.19,1229.39,1348.16,1324.03
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,2182.12,2030.47,2395.41,2959.61,2914.39,2836.64,2217.49,3671.02,4317.04,4644.36,6328.1,9675.96,8825.98,9063,7587.25,8528.63,9361.04,10985.87,10316.53,10124.7,14018.89,12142.77,12060.08
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,13882.86,16874.19,21913.71,25420.23,27751.07,26654.59,32479.98,31252.96,28209.36,33676.77,38388.53,39974.3,42977.39,44578.23,38639.35,40070.9,42913.19,43228.7,42747.21,41785.69,49624.18,48216.51,48527.83
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,22671.48,23474.9,26058.93,28798.21,30228.66,31656.87,34404.48,36254.16,33671.83,35088.31,37547.36,37285.61,37575.08,38112.07,35733.34,36197.22,37576.62,39507.12,39685.56,38592.78,42930.78,43681.73,46280.58
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,8191.51,8380.04,8896.9,10030.44,12357.7,14533.73,16151.28,22974.28,17937.98,22552.2,24166.1,24722.64,23563.94,23121.21,18777.43,17082.21,17802.58,19887.57,19132.15,16707.62,19509.47,25056.79,23295.33
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,5211.93,5609.2,6803.88,7955.91,8859.03,9748.76,11505.37,12427.55,10627.64,11207.53,12625.38,12403.64,12793.91,13014.86,11597.29,12007.58,13168.31,14244.59,14212.91,12862.53,14917.59,15844.37,16459.97
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,610.14,599.79,673.38,774.79,832.75,909.03,1012.18,1087.51,985.35,1011.6,1161.04,1236.89,1259.67,1303.19,1421.84,1468.82,1567.64,1620.74,1437.17,1322.31,1506.11,1589.26,1407.02
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,4084.26,4163.52,4304.11,4629.03,4953.13,5385.56,6205.82,7197.11,7618.44,8124.56,9403.44,10767.29,11932.29,12837.25,13669.56,14382.23,15185.97,16156.07,16472.83,13293.33,15491.29,17357.63,18661.77
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,1925.98,2003.97,2126.14,2393.67,2702.24,3123.32,3572.36,4184.89,4164.97,5047.2,5826.83,6475.72,6697.19,6614.83,6180.12,6163.86,6676.31,6912.1,6956.5,6047.48,6713.66,7239.11,7789.87
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,991.15,1037.17,1049.39,1122.86,1245.29,1452.22,1741.6,1990.36,1893.28,2201.78,2431.2,2671.78,2847.57,2935.93,2974.3,3038.15,3077.43,3194.67,3413.85,3224.42,3460.54,3499.11,3725.55
