Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,1770.91,2092.98,2719.49,3389.69,3899.83,4523.15,5888.78,7271.3,6988.27,6863.67,7857.17,7430.74,7687.71,7912.27,7078.86,7570.93,8381.88,9447.66,9874.34,10148.34,12219.34,13974.45,15797.6
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,12291.83,12820,14230.3,15777.96,17705.24,19057.8,20883.55,23155.82,19448.18,21186.81,23741.56,25102.73,25790.73,25464.76,22850.67,22877.94,24315.5,25415.85,25869.11,23433.19,26850,30146.93,29084.31
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,25234.14,26590.14,26204.88,26393.41,28280.87,28829.85,29687.87,29013.63,27120.69,27046.66,26644.93,28059.66,26956.57,28201.56,29722.41,29661.14,30666.88,31389.93,32173.96,24499.16,27871.37,32041.25,34749.64
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,1382.77,1602.56,2031.4,2451.58,2741.08,3170.17,3936.93,4846.79,4542.31,4506.93,4980.9,4688.35,5025.24,5196.97,4654.61,4917.26,5327.39,6024.49,6094.72,6095.1,7237.27,7587.59,8426.09
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1244.37,1479.38,1819.53,2378.34,3126.07,3848.22,4735.48,6376.18,5352.49,6034.68,6527.66,6953.22,7998.08,8341.29,5967.07,5039.78,5785.53,6360.05,6837.77,6542.86,7489.72,7994.65,7829.05
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4708.29,4844.23,4937.09,5123.6,5236.37,5486.83,5717.93,5665.97,5352.1,5399.06,5519.34,5635.52,5865.47,6031.55,6098.6,6099.96,6049.39,6001.02,6134.22,5185.16,6060.97,6984.22,7987.59
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,58883.96,62583.1,66111.73,70359.32,75882.03,95221.86,104287.39,106935.49,101407.76,101875.28,97774.16,98431.87,99471.64,98467.68,102005.63,106885.88,111820.58,113050.74,116153.17,107791.89,114274.62,123091.12,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,930.88,888.2,892.36,951.95,1018.31,1200.07,1351.04,1687.58,1725.15,1922.06,2304.98,2562.47,2853.8,3022.46,2975.65,3013.5,3280.01,3471.01,3472.38,3068.81,3345.02,3600.12,3700.98
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3142.24,2824.72,3056.65,3623.22,4773.27,5866.02,7323.19,8801.76,8569.9,11249.29,13200.56,12327.51,12258.57,12071.4,8783.22,8680.74,9896.72,9121.02,8845.32,6923.7,7794.88,9065.5,10043.62
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,11510.04,11658.63,11998.18,12828.44,14173.75,15595.17,17225.53,17570.78,16314.67,16507.43,16924.07,16736.92,16952.13,16980.03,17040.42,17398.99,17910.78,18335.95,19156.04,17028.41,17586.33,20738.45,22672.62
